Timestamp,miners-revenue
2021-07-04 01:00:00,26850966.694825143
2021-07-05 01:00:00,29781454.423735674
2021-07-06 01:00:00,31922406.81313202
2021-07-07 01:00:00,27871474.456535358
2021-07-08 01:00:00,29946768.12842675
2021-07-09 01:00:00,28042394.08723746
2021-07-10 01:00:00,34562838.34397255
2021-07-11 01:00:00,27450462.488367923
2021-07-12 01:00:00,27887294.46842595
2021-07-13 01:00:00,28926080.150108404
2021-07-14 01:00:00,35713899.102159716
2021-07-15 01:00:00,26360965.372066207
2021-07-16 01:00:00,30312671.303400345
2021-07-17 01:00:00,28583415.04251025
2021-07-18 01:00:00,28985344.268370077
2021-07-19 01:00:00,33665753.26013767
2021-07-20 01:00:00,23622405.807595752
2021-07-21 01:00:00,28599770.53082254
2021-07-22 01:00:00,32359585.956606735
